Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
Cojocna,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Poiana Mare,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bunesti,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Oras Ludus,12.0,0.0,0.0,0.0,3.0,0.0,307.0
Grumazesti,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Oras Breaza,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Pausesti-Maglasi,0.0,0.0,0.0,0.0,0.0,0.0,59.0
Sapoca,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Municipiul Sighetu Marmatiei,47.0,0.0,0.0,0.0,10.0,0.0,110.0
Vama,3.0,0.0,0.0,0.0,0.0,0.0,7.0
Oras Podu Iloaiei,0.0,0.0,0.0,0.0,0.0,0.0,74.0
Cacica,0.0,0.0,0.0,0.0,0.0,4.0,105.0
Domnesti,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Oras Fieni,2.0,0.0,0.0,0.0,0.0,0.0,26.0
Halchiu,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Dragoslavele,0.0,0.0,0.0,0.0,0.0,0.0,275.0
Vetis,2831.0,0.0,0.0,0.0,0.0,0.0,1.0
Luncoiu De Jos,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Becicherecu Mic,0.0,0.0,0.0,0.0,0.0,19.0,16.0
Cetate,292.0,0.0,0.0,0.0,0.0,0.0,0.0
Municipiul Reghin,218.0,0.0,1.0,0.0,0.0,0.0,263.0
Draganu,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Radovan,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Sarasau,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Harman,0.0,0.0,0.0,0.0,0.0,13.0,3.0
Popesti,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oras Busteni,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Oras Gaesti,0.0,0.0,4.0,0.0,0.0,0.0,121.0
Belint,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Harseni,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Godeni,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Oras Sovata,0.0,0.0,1.0,0.0,0.0,0.0,31.0
Municipiul Campina,247.0,0.0,0.0,0.0,0.0,21.0,216.0
Oras Baia Sprie,896.0,0.0,0.0,0.0,0.0,0.0,185.0
Racaciuni,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Robanesti,0.0,0.0,0.0,0.0,0.0,10.0,3.0
Bethausen,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Popricani,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Dabaca,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ilisesti,0.0,0.0,0.0,0.0,44.0,0.0,12.0
Hoghiz,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Stanesti,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ion Creanga,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Vidra,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Municipiul Tarnaveni,2.0,0.0,0.0,0.0,0.0,0.0,68.0
Feleacu,0.0,0.0,0.0,0.0,16.0,0.0,1.0
Oras Borsa,155.0,0.0,0.0,0.0,3.0,0.0,53.0
Biled,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oras Comarnic,0.0,0.0,0.0,0.0,0.0,0.0,86.0
Sadova,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Scutelnici,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Oras Cavnic,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Grivita,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Municipiul Moreni,0.0,0.0,0.0,0.0,1.0,3.0,29.0
Pietrari,0.0,0.0,0.0,0.0,0.0,85.0,5.0
