NumeJudet,Valoare
Alba,625524
Arad,759988
Arges,656054
Bacau,646318
Bihor,2274036
Bistrita-Nasaud,391138
Botosani,136110
Braila,435626
Brasov,4121918
Buzau,337950
Calarasi,73950
Caras-Severin,1422052
Cluj,1713192
Constanta,8362612
Covasna,963200
Dambovita,500240
Dolj,374614
Galati,274152
Giurgiu,81854
Gorj,294312
Harghita,834258
Hunedoara,687576
Ialomita,421950
Iasi,908322
Ilfov,342986
Maramures,562054
Mehedinti,331282
Municipiul Bucuresti,5736182
Mures,2057286
Neamt,663004
Olt,146734
Prahova,2039976
Salaj,175072
Satu Mare,312148
Sibiu,1481892
Suceava,1398982
Teleorman,45778
Timis,1597892
Tulcea,276354
Valcea,2308114
Vaslui,115876
Vrancea,150122
