Ani,NumeJudet,0
2001,Alba,39980.73140246918
2001,Arad,193706.66713455954
2001,Arges,147494.89435896857
2001,Bacau,111981.6142499861
2001,Bihor,227940.84636397433
2001,Bistrita-Nasaud,108567.10317476322
2001,Botosani,61851.98582366992
2001,Braila,552515.8928451785
2001,Brasov,593743.1397467239
2001,Buzau,63463.74213547942
2001,Calarasi,26655.369167328216
2001,Caras-Severin,62879.29335133276
2001,Cluj,242792.73400142006
2001,Constanta,1903811.4618703804
2001,Covasna,118236.70847921833
2001,Dambovita,75608.65048363827
2001,Dolj,135943.36321422155
2001,Galati,178080.77722106647
2001,Giurgiu,107076.3024805167
2001,Gorj,74834.98419926125
2001,Harghita,30930.746759920068
2001,Hunedoara,53038.4149519639
2001,Ialomita,42875.30351139335
2001,Iasi,351136.21403803484
2001,Ilfov,3741.592625775327
2001,Maramures,142559.00185778626
2001,Mehedinti,98879.06719693026
2001,Municipiul Bucuresti,1893496.0
2001,Mures,122826.68042334511
2001,Neamt,73085.6071506446
2001,Olt,31632.123083818373
2001,Prahova,97153.05465357834
2001,Salaj,50181.52168110004
2001,Satu Mare,99346.519874371
2001,Sibiu,233456.3374760457
2001,Suceava,131117.7773045443
2001,Teleorman,13833.882794255022
2001,Timis,416667.2049267179
2001,Tulcea,108398.83632403535
2001,Valcea,172643.90837836036
2001,Vaslui,21409.588962957205
2001,Vrancea,36139.29634039231
2002,Alba,36442.464335429926
2002,Arad,174404.66065666344
2002,Arges,152006.5224624289
2002,Bacau,100385.24142263431
2002,Bihor,240470.93936102476
2002,Bistrita-Nasaud,138894.28003387802
2002,Botosani,60192.892917222925
2002,Braila,478292.11935257376
2002,Brasov,541546.2764973457
2002,Buzau,63186.65334368073
2002,Calarasi,32622.131758842726
2002,Caras-Severin,69441.28328038666
2002,Cluj,285107.99281077913
2002,Constanta,1875868.5890449346
2002,Covasna,103216.99177890502
2002,Dambovita,73798.44020906197
2002,Dolj,132056.31136578025
2002,Galati,195372.4137374211
2002,Giurgiu,97622.73907898867
2002,Gorj,67847.79679543218
2002,Harghita,22931.484475932484
2002,Hunedoara,53589.34612787978
2002,Ialomita,40641.1060040072
2002,Iasi,343654.2840601193
2002,Ilfov,8642.433694814037
2002,Maramures,114329.87647575772
2002,Mehedinti,108263.68620719119
2002,Municipiul Bucuresti,2026086.0
2002,Mures,156690.69533044143
2002,Neamt,74340.61415026536
2002,Olt,33185.8974725481
2002,Prahova,105938.06340884978
2002,Salaj,58138.454625404804
2002,Satu Mare,86137.8579131629
2002,Sibiu,206154.58173551003
2002,Suceava,106398.19805045836
2002,Teleorman,12192.798388724057
2002,Timis,347815.4898491735
2002,Tulcea,87070.89238803746
2002,Valcea,168820.44803548796
2002,Vaslui,22221.668451432346
2002,Vrancea,37701.48062958061
2003,Alba,50922.840111830825
2003,Arad,209988.55391105832
2003,Arges,150110.06408095412
2003,Bacau,103548.71960023136
2003,Bihor,189218.44305654394
2003,Bistrita-Nasaud,133046.4323673933
2003,Botosani,66454.49110524842
2003,Braila,506608.9040379241
2003,Brasov,530224.5762967364
2003,Buzau,75184.02575986896
2003,Calarasi,42471.60602937908
2003,Caras-Severin,72711.82306295681
2003,Cluj,342410.05310441134
2003,Constanta,1962841.2702128845
2003,Covasna,108482.97360766532
2003,Dambovita,83737.54804253492
2003,Dolj,94183.97090478305
2003,Galati,190738.47682485732
2003,Giurgiu,81702.76512546031
2003,Gorj,65465.971212599594
2003,Harghita,33289.49680912612
2003,Hunedoara,63173.95798126036
2003,Ialomita,40725.921918006665
2003,Iasi,334222.412469921
2003,Ilfov,10674.680332837384
2003,Maramures,108903.02859521747
2003,Mehedinti,99152.18024822258
2003,Municipiul Bucuresti,2260312.0
2003,Mures,150186.4704404408
2003,Neamt,84521.84088150218
2003,Olt,35093.2230636566
2003,Prahova,104400.85323775644
2003,Salaj,58191.580959151885
2003,Satu Mare,85784.50135248226
2003,Sibiu,214144.4604165906
2003,Suceava,98530.98624031756
2003,Teleorman,14160.930848161905
2003,Timis,368891.1723001957
2003,Tulcea,83906.14534239931
2003,Valcea,152615.3521868654
2003,Vaslui,23980.396159676606
2003,Vrancea,56098.29923514886
2004,Alba,48947.81941543732
2004,Arad,232186.44186808864
2004,Arges,135968.61060556927
2004,Bacau,93348.23472748986
2004,Bihor,182372.25540466135
2004,Bistrita-Nasaud,118869.88897876116
2004,Botosani,64690.794245655205
2004,Braila,461361.7805047061
2004,Brasov,536170.5685270405
2004,Buzau,68953.53613537978
2004,Calarasi,46301.69707623608
2004,Caras-Severin,78962.51225468723
2004,Cluj,389564.9669418407
2004,Constanta,2150110.9326537778
2004,Covasna,104176.93245404493
2004,Dambovita,81426.76258682579
2004,Dolj,129878.03509343276
2004,Galati,216028.03766754243
2004,Giurgiu,110256.55872692891
2004,Gorj,66801.51870347688
2004,Harghita,35549.74098331125
2004,Hunedoara,53282.10444476839
2004,Ialomita,44329.39588584673
2004,Iasi,353621.0106775851
2004,Ilfov,16213.722586878072
2004,Maramures,102291.23014208433
2004,Mehedinti,119164.92495951314
2004,Municipiul Bucuresti,2540766.0
2004,Mures,140479.88119796748
2004,Neamt,89405.13514004457
2004,Olt,50278.53669672585
