Locality,Shannon-Weaver entropy
Municipiul Alba Iulia,0.31303290522950367
Ciugud,0.0623887444491804
Oras Abrud,0.10371515628283044
Municipiul Aiud,0.890509554523672
Municipiul Blaj,0.8049364824393438
Oras Campeni,0.1928199579236734
Oras Cugir,0.31883034441023556
Oras Ocna Mures,0.8125913127279893
Municipiul Sebes,0.40474570333808657
Oras Zlatna,0.32614976690106656
Albac,0.12326113558278975
Almasu Mare,0.043471916485273265
Arieseni,0.018413306571697655
Avram Iancu,0.48329447444158524
Oras Baia De Aries,0.04574290615921079
Berghin,0.42407279247694063
Bistra,0.05073077002610703
Blandiana,0.131225550204339
Bucium,0.0
Cenade,0.7442780873164209
Cergau,0.5472264518883158
Ceru-Bacainti,0.0
Cetatea De Balta,1.5124327009745202
Ciuruleasa,0.0
Calnic,0.843585866331831
Cricau,0.1360450646240397
Craciunelu De Jos,0.26359427580708356
Daia Romana,0.026025941842720397
Dostat,0.16808857115922896
Farau,1.028902745131353
Galda De Jos,0.39042545137090734
Garbova,0.5697884961444414
Garda De Sus,0.0
Hoparta,0.7385397216440855
Horea,0.21917642491160508
Ighiu,0.22196306449819656
Intregalde,0.0
Jidvei,1.0271198000601023
Livezile,0.08633220093481295
Lopadea Noua,1.0262272163662056
Lunca Muresului,1.2947099650097853
Lupsa,0.0
Metes,0.05043339167913209
Mihalt,0.11796383229246676
Miraslau,1.08721979483054
Mogos,0.0
Noslac,0.8440031345440518
Ocolis,0.0
Ohaba,0.17575512828488662
Pianu,0.06994149243275571
Poiana Vadului,0.0
Ponor,0.0
Posaga,0.0
Radesti,0.8554772081432924
Rametea,0.5890537061366501
Ramet,0.0
Rosia Montana,0.5793237388021548
Rosia De Secas,0.34475252506291587
Salciua,0.0
Salistea,0.0
Sasciori,0.0638037766608028
Scarisoara,0.6275160148603522
Sancel,0.32622511724120107
Santimbru,0.1909866896130149
Sohodol,0.16527275644076483
Stremt,0.04620894856710808
Sibot,0.2087072820923857
Sona,1.1122049610613987
Spring,0.28830446496141815
Sugag,0.029756110043301295
Oras Teius,0.6523307782579334
Unirea,1.1075541744290844
Vadu Motilor,0.0
Valea Lunga,0.44920505152625456
Vidra,0.019561461433557595
Vintu De Jos,0.236640481344322
Cut,0.11830528622013912
Bucerdea Granoasa,1.2454477612902768
Municipiul Arad,0.7984441789127141
Fantanele,0.780689585824471
Livada,0.5752860783507943
Sofronea,0.9438309808495567
Vladimirescu,0.35991396494769656
Oras Chisineu-Cris,1.1018040077327966
Oras Curtici,0.6879417817943091
Oras Ineu,0.7325787154665512
Oras Lipova,0.4382130039154624
Oras Nadlac,1.486759945130975
Oras Pancota,1.0962072212819818
Oras Sebis,0.5330112871741198
Almas,0.13114882098067382
Apateu,0.20030292452002083
Archis,0.30585481457490893
Bata,0.2433874057749962
Beliu,0.5658657432005476
Birchis,0.4791743761817315
Barsa,0.19537099596391597
Barzava,0.1915407007745479
Bocsig,0.20295349847205035
Brazii,0.0
Buteni,0.08338293284429604
Carand,0.3552875524488921
Cermei,0.7117095082426829
Chisindia,0.22907685773023675
Conop,0.11464143452134454
Covasint,0.9048623905249998
Craiva,0.6143470846947777
Dezna,0.025651946800986897
Dieci,0.1253123092551699
Ususau,0.052532315081838296
Felnac,0.9742234618524269
Ghioroc,0.7660288354492525
Graniceri,0.4919757330795488
Gurahont,0.19190795820948142
Halmagiu,0.024382108751157178
Halmagel,0.0
Hasmas,0.16676648237501449
Ignesti,0.0
Iratosu,1.1582048958598448
Macea,0.6434708645848964
Misca,1.5887189875320227
Moneasa,0.09448423313368225
Olari,1.5422115972359949
Paulis,0.5334957521934369
Oras Pecica,1.3578755238863631
Peregu Mare,2.111759349194052
Petris,0.08567787060064676
Pilu,0.8090202291743158
Plescuta,0.03886195175180214
Savarsin,0.09862952764194777
Secusigiu,0.8607094382278436
Seleus,0.05239039175055271
Semlac,0.9320701502107409
Sintea Mare,1.638309409356263
Oras Santana,0.7976725082910749
Socodor,0.6537057363113626
Sagu,0.6736541858812851
Seitin,0.6005577905168084
Sepreus,0.6166352604576686
Sicula,0.1680501976217508
Silindia,0.7045426995240193
Simand,0.6988814634278286
Siria,0.8279744404558523
Sistarovat,0.0760346956656914
Taut,0.21926556598211952
Tarnova,0.6507314940462463
Varadia De Mures,0.06621923467694608
Vinga,1.7894226758199565
Varfurile,0.13310960579889636
Zabrani,0.19278440193415436
Zarand,0.22582543828861384
Zerind,0.5643088720326324
Zimandu Nou,1.0891004602105818
Dorobanti,0.6043001107350997
Frumuseni,0.3465767310078976
Zadareni,0.268772226961812
Municipiul Pitesti,0.08884752531350609
Bascov,0.07987092724425282
Bradu,0.10972513405392695
Oras Mioveni,0.068010080669983
Maracineni,0.13098616779217637
Oras Stefanesti,0.36364143774616936
Municipiul Campulung,0.15897877678912462
Valea Mare Pravat,0.7790137216024182
Municipiul Curtea De Arges,0.05968337535154525
Oras Costesti,0.10611322963203589
Oras Topoloveni,0.04094989955983924
Albestii De Arges,0.04036975757828752
Albestii De Muscel,0.0
Albota,0.029345768829557965
Aninoasa,0.6938768685377039
Arefu,0.0
Babana,0.0
Baiculesti,0.14516639331726755
Balilesti,0.250862390630985
Beleti-Negresti,0.08418986963403699
Berevoesti,0.856448935581468
Barla,0.007281874139893346
Bogati,0.091911574726888
