Locality,Dissimilarity index
Municipiul Alba Iulia,0.030019381135920682
Ciugud,0.0017265276405801285
Oras Abrud,0.0027141336287293625
Municipiul Aiud,0.011424292394357813
Municipiul Blaj,0.01046863215123208
Oras Campeni,0.00380410470609193
Oras Cugir,0.009653946191767737
Oras Ocna Mures,0.006753195882877867
Municipiul Sebes,0.015932464871359377
Oras Zlatna,0.0039016107814267343
Albac,0.00115236616828497
Almasu Mare,0.0007379100169456698
Arieseni,0.0009752721424669088
Avram Iancu,0.0009358761915975681
Oras Baia De Aries,0.0019735905759114335
Berghin,0.0012428962894852306
Bistra,0.002553540360714342
Blandiana,0.0005001231927214979
Bucium,0.0008299265518900091
Cenade,0.0009192319706939202
Cergau,0.0008796109697809543
Ceru-Bacainti,0.0001555007875791074
Cetatea De Balta,0.0025462210726387353
Ciuruleasa,0.000689151217680135
Calnic,0.0012047818326724742
Cricau,0.0010495417192013183
Craciunelu De Jos,0.0010593505746645494
Daia Romana,0.0015814605379711154
Dostat,0.000518918619149537
Farau,0.0009526883861418719
Galda De Jos,0.002342556241887607
Garbova,0.0016505342919828144
Garda De Sus,0.0009866053757386552
Hoparta,0.0007338792700027978
Horea,0.0011533746941517155
Ighiu,0.003355704362531758
Intregalde,0.0003221929197188324
Jidvei,0.003834665770915273
Livezile,0.0006772489177565629
Lopadea Noua,0.0022850418251976513
Lunca Muresului,0.0017059992347226304
Lupsa,0.0017417266245129573
Metes,0.0016334656189564013
Mihalt,0.0016985071541269871
Miraslau,0.0012527488887563712
Mogos,0.0004111346580690038
Noslac,0.000898464741739937
Ocolis,0.00035399989899637715
Ohaba,0.0004037538747265493
Pianu,0.0017140244679846055
Poiana Vadului,0.0006632344197502838
Ponor,0.0003062894300800601
Posaga,0.0005890181347693463
Radesti,0.0006835461151168668
Rametea,0.0011973696257359951
Ramet,0.00031983684717975505
Rosia Montana,0.00159114354700713
Rosia De Secas,0.0007970216044326498
Salciua,0.0008258034249466237
Salistea,0.0012316369198027031
Sasciori,0.003229378742424313
Scarisoara,0.0010468890642730344
Sancel,0.0012956497307972208
Santimbru,0.0014929865293200541
Sohodol,0.0009461566672311191
Stremt,0.0013763184185631803
Sibot,0.0011763266944233553
Sona,0.002482403334511172
Spring,0.0013103470727476153
Sugag,0.0015470096590656283
